slug	title	location	status	progress	area	beds	parking	floors	units	leisure	desc	differentials	prog_terreno	prog_fundacoes	prog_super	prog_alvenaria	prog_instalacoes	prog_acabamento	visible
odilon-braga	Edifício\nOdilon Braga	Rua Odilon Braga, 369 - Anchieta	Em Obras	98	60 a 124m²	2 a 3 Quartos	2 Vagas	5 Andares	8 Unidades	Espaço Gourmet e Fitness	Requinte e sofisticação no bairro Anchieta. O Edifício Odilon Braga oferece a exclusividade de apenas 8 unidades em uma das ruas mais desejadas da região. Com plantas versáteis de 2 a 3 quartos, este projeto une conforto, segurança e alto padrão em uma localização privilegiada.	Localização Nobre no Anchieta | Apenas 8 Unidades | Plantas Espaçosas | 2 Vagas de Garagem | Acabamento de Alto Padrão | Arquitetura Contemporânea | Água e Gás Individualizados | Segurança de Última Geração	100	100	100	100	100	90	TRUE
barao-de-cocais	Studio\nBarão de Cocais	Rua Barão de Cocais, 54 - Sagrada Família	Em Obras	93	37 a 100m²	1 Quarto	1 Vaga	5 Andares	15 Unidades	Sem Área de Lazer	Arquitetura arrojada no coração da Sagrada Família. O Studio Barão de Cocais redefine o conceito de estúdio com metragens amplas e exclusivas, incluindo unidades com área privativa e duplex. Um projeto limitado a 15 unidades que une sofisticação e funcionalidade em um dos bairros mais tradicionais da cidade.	Localização Estratégica | Duplex e Área Privativa | Apenas 15 Unidades | Design Contemporâneo | Vaga de Garagem Coberta | Acabamento Premium | Água e Gás Individualizados | Condomínio Inteligente	100	100	100	100	100	60	TRUE
silvestre-ferraz	Studio\nSilvestre Ferraz	Rua Silvestre Ferraz, 132 - Sagrada Família	Em Obras	96	37 a 75m²	1 Quarto	1 Vaga	5 Andares	12 Unidades	Sem Área de Lazer	Viva a exclusividade no Studio Silvestre Ferraz. Localizado estrategicamente no bairro Sagrada Família, este projeto inovador traz apenas 12 unidades com acabamento de alto padrão. Unidades duplex e áreas privativas oferecem o espaço ideal para quem não abre mão do conforto em um ambiente compacto e moderno.	Localização Residencial Próxima ao Centro | Unidades Duplex Exclusivas | Áreas Privativas Amplas | Apenas 12 Unidades | Vaga de Garagem | Design de Fachada Moderno | Água e Gás Individualizados | Acabamento Superior	100	100	100	100	100	75	TRUE
gisa-araujo	Edifício\nGisa Araújo	Rua Pium-í, 930 - Sion	Últimas Unidades	100	60 a 203m²	2, 3 e 4 Quartos	2 a 4 Vagas	7 Andares	13 Unidades	Sem Área de Lazer	Exclusividade e sofisticação no coração do bairro Sion. O Edifício Gisa Araújo oferece uma variedade única de plantas, desde apartamentos tipo a coberturas lineares e áreas privativas, além de uma loja de conveniência no térreo. Com acabamento impecável e localização privilegiada, é o empreendimento ideal para quem busca versatilidade e conforto em uma das regiões mais valorizadas de BH.	Localização Privilegiada no Sion | Plantas de 2, 3 e 4 Quartos | Coberturas e Áreas Privativas | Acabamento de Alto Padrão | 2 a 4 Vagas de Garagem | Loja no Térreo | Apenas 13 Unidades | Arquitetura Contemporânea	100	100	100	100	100	100	TRUE
costa-monteiro	Edifício\nCosta Monteiro	Rua Costa Monteiro, 699 - Sagrada Família	Últimas Unidades	100	40 a 122m²	1, 2 e 3 Quartos	1 e 2 Vagas	4 Andares	10 Unidades	Sem Área de Lazer	O Edifício Costa Monteiro é a escolha ideal para quem busca conforto e exclusividade no bairro Sagrada Família. Com apenas 10 unidades, o projeto oferece uma variedade de plantas que se adaptam ao seu estilo de vida, desde studios práticos a coberturas espaçosas. Tudo isso com o padrão de qualidade CHR e uma localização privilegiada e tranquila.	Apenas 10 Unidades | Plantas Versáteis (1, 2 e 3 Qts) | Localização Residencial Tranquila | Área Privativa e Cobertura | Acabamento de Alto Padrão | Água e Gás Individualizados | Vagas de Garagem Cobertas | Condomínio Econômico	100	100	100	100	100	100	TRUE
sao-manoel	Edifício\nSão Manoel	Rua São Manoel, 263 - Bairro Floresta	Concluído	100	40m² a 95m²	1 e 2 Quartos	1 e 2 Vagas	A Definir	A Definir	Área Privativa e Cobertura	O Edifício São Manoel traz modernidade e elegância em uma das ruas mais tradicionais do bairro Floresta. Com opções de 1 e 2 quartos, o projeto contempla áreas privativas e coberturas que atendem aos mais altos padrões de exigência. Qualidade construtiva e localização privilegiada em um único lugar.	Localização Nobre no Floresta | 1 e 2 Quartos | Vagas de 1 e 2 Veículos | Área Privativa e Cobertura | Acabamento de Alto Padrão | Água e Gás Individualizados | Design Contemporâneo | Segurança e Praticidade	100	100	100	100	100	100	TRUE
enio-soares	Edifício\nEnio Soares	Rua Conselheiro Lafaiete, 497 - Sagrada Família	Em Obras	0	A Definir	2 e 3 Quartos	A Definir	A Definir	A Definir	Área Privativa e Cobertura	Requinte e design na Rua Conselheiro Lafaiete. O Edifício Enio Soares é o novo marco da CHR na Sagrada Família, oferecendo apartamentos de 2 e 3 quartos com o máximo de conforto. Unidades exclusivas com área privativa e coberturas que proporcionam uma vista única da região, unindo qualidade construtiva e localização estratégica.	Localização Tradicional na Conselheiro Lafaiete | Apartamentos de 2 e 3 Quartos | Área Privativa e Cobertura | Design Contemporâneo | Acabamento Superior CHR | Plantas Inteligentes | Água e Gás Individualizados | Infraestrutura de Alto Padrão	0	0	0	0	0	0	TRUE
isabela-lima	Edifício\nIsabela Lima	Rua Jaime Gomes, 76 - Floresta	Em Obras	0	A Definir	A Definir	A Definir	A Definir	A Definir	A Definir	Exclusividade e sofisticação no coração do bairro Floresta. O Edifício Isabela Lima traz o padrão de qualidade CHR para a Rua Jaime Gomes. Unidades projetadas para oferecer o máximo de conforto em uma localização repleta de história, comércio e facilidades. Descubra um novo conceito de moradias com acabamento superior e design atemporal.	Localização Nobre no Bairro Floresta | Acabamento de Alto Padrão | Design Contemporâneo | Condomínio Econômico | Sustentabilidade e Tecnologia | Água e Gás Individualizados | Vagas de Garagem Cobertas | Próximo ao Centro de BH	0	0	0	0	0	0	TRUE
sao-pedro	Edifício\nSão Pedro	Rua Mestre Luiz, 76 - São Pedro	Em Obras	0	A Definir	2 e 3 Quartos	A Definir	A Definir	A Definir	Área Privativa e Cobertura	O Edifício São Pedro representa a harmonia entre modernidade e tradição no coração do bairro São Pedro. Localizado na Rua Mestre Luiz, o projeto oferece plantas de 2 e 3 quartos com acabamentos de altíssimo nível. Unidades com área privativa e coberturas que atendem aos mais refinados desejos de moradia e bem-estar.	Localização Privilegiada no São Pedro | Plantas de 2 e 3 Quartos | Área Privativa e Cobertura | Acabamento de Alto Padrão | Vagas de Garagem Cobertas | Segurança de Última Geração | Arquitetura Elegante | Qualidade Construtiva CHR	0	0	0	0	0	0	TRUE
chicago	Edifício\nChicago	Rua Chicago, 295 - Sion	Em Obras	0	A Definir	2 e 3 Quartos	A Definir	A Definir	A Definir	Área Privativa e Cobertura	O Edifício Chicago traz a sofisticação da arquitetura moderna para a Rua Chicago, no coração do bairro Sion. Com apartamentos amplos de 2 e 3 quartos, o projeto contempla áreas privativas e coberturas lineares que elevam o conceito de morar bem. Qualidade CHR em cada detalhe, em uma das localizações mais desejadas de BH.	Localização Privilegiada no Sion | Plantas de 2 e 3 Quartos | Área Privativa e Cobertura | Acabamento de Alto Padrão | Vagas de Garagem Cobertas | Design Contemporâneo | Água e Gás Individualizados | Próximo ao Comércio e Lazer do Sion	0	0	0	0	0	0	TRUE
dom-vital	Edifício\nDom Vital	Rua Dom Vital, 47 - Anchieta	Em Obras	0	37 a 75m²	1 Quarto	1 a 2 Vagas	A Definir	A Definir	Área Privativa e Cobertura	Exclusividade e estilo se encontram na Rua Dom Vital. No coração do bairro Anchieta, o Edifício Dom Vital oferece apartamentos de 1 quarto com plantas inteligentes e acabamento premium. Unidades exclusivas com área privativa e coberturas que proporcionam lazer e conforto para toda a família.	Localização Nobre no Anchieta | Plantas de 2 e 3 Quartos | Área Privativa e Cobertura | Acabamento de Alto Padrão | Vagas de Garagem Cobertas | Design Contemporâneo | Infraestrutura para Ar-Condicionado | Água e Gás Individualizados	0	0	0	0	0	0	TRUE
amaro-linari	Edifício Eng.\nAmaro Linari	Rua Engenheiro Amaro Linari, 366 - Sion	Em Obras	0	A Definir	2 e 3 Quartos	A Definir	A Definir	A Definir	Área Privativa e Cobertura	Requinte e exclusividade no bairro Sion. O Edifício Eng. Amaro Linari é o novo marco de qualidade da CHR na região, oferecendo apartamentos de 2 e 3 quartos com acabamentos de alto padrão. Unidades amplas com área privativa e coberturas que proporcionam lazer e conforto incomparáveis, unindo sofisticação e localização privilegiada.	Localização Nobre no Sion | Plantas de 2 e 3 Quartos | Área Privativa e Cobertura | Acabamento de Alto Padrão | Vagas de Garagem Cobertas | Design Contemporâneo | Água e Gás Individualizados | Infraestrutura para Ar-Condicionado	0	0	0	0	0	0	TRUE
francisco-bressane	Edifício CHR\nFrancisco Bressane	Rua Francisco Bressane, 119 - Floresta	Em Obras	0	A Definir	2 e 3 Quartos	A Definir	A Definir	A Definir	Área Privativa e Cobertura	Modernidade e tradição se encontram no Edifício CHR Francisco Bressane. Localizado no charmoso bairro Floresta, este empreendimento oferece apartamentos de 2 e 3 quartos com plantas versáteis e acabamento de alto padrão. Unidades com área privativa e coberturas que proporcionam conforto absoluto e uma vivência urbana de excelência em Belo Horizonte.	Localização Tradicional no Floresta | Plantas de 2 e 3 Quartos | Área Privativa e Cobertura | Acabamento Premium CHR | Vagas de Garagem Cobertas | Design Contemporâneo | Água e Gás Individualizados | Próximo ao Centro e Lazer Regional	0	0	0	0	0	0	TRUE
machado-lima	Edifício\nMachado Lima	Rua Francisco Bressane, 142 - Floresta	Em Obras	0	A Definir	2 e 3 Quartos	A Definir	A Definir	A Definir	Área Privativa e Cobertura	O Edifício Machado Lima traz o requinte da CHR para a Rua Francisco Bressane, no bairro Floresta. Com arquitetura moderna e plantas versáteis de 2 e 3 quartos, o empreendimento oferece unidades com área privativa e coberturas espaçosas, garantindo conforto e qualidade de vida em uma localização tranquila e estratégica da capital mineira.	Localização Residencial Tranquila | Plantas de 2 e 3 Quartos | Área Privativa e Cobertura | Qualidade Construtiva CHR | Vagas de Garagem Cobertas | Design Contemporâneo | Acabamento de Alto Padrão | Água e Gás Individualizados	0	0	0	0	0	0	TRUE
jardins-do-prado	Edifício\nJardins do Prado	Rua Contria, 444 - Prado	Em Obras	0	A Definir	2 e 3 Quartos	A Definir	A Definir	A Definir	Jogos, Fitness, Gourmet, Spa, Festas	O Edifício Jardins do Prado traz um novo patamar de exclusividade e lazer para o bairro Prado. Com infraestrutura completa que inclui sala de jogos, fitness, área gourmet, SPA e salão de festas, o projeto foi concebido para quem valoriza momentos de convivência e bem-estar. Unidades de 2 e 3 quartos com acabamento premium CHR e a sofisticação das coberturas e áreas privativas.	Lazer Completo (Fitness, SPA, Gourmet) | Salão de Festas e Jogos | Plantas de 2 e 3 Quartos | Área Privativa e Cobertura | Acabamento de Alto Padrão | Vagas de Garagem Cobertas | Localização Nobre no Prado | Água e Gás Individualizados	0	0	0	0	0	0	TRUE
arnaldo-xavier	Edifício\nArnaldo Xavier	Rua Francisco Bressane, 152 - Floresta	Em Obras	0	A Definir	1 e 2 Quartos	1 e 2 Vagas	A Definir	A Definir	A Definir	O Edifício Arnaldo Xavier localiza-se na Rua Francisco Bressane, no bairro Floresta. O novo projeto da CHR oferece apartamentos de 1 e 2 quartos com vagas para 1 e 2 veículos. Combinando modernidade e conforto em uma das localizações mais estratégicas de Belo Horizonte, o Arnaldo Xavier é sinônimo de praticidade urbana e acabamento de alto padrão.	Localização Tradicional no Floresta | Apartamentos de 1 e 2 Quartos | Vagas de 1 e 2 Veículos | Qualidade Construtiva CHR | Acabamento Superior | Design Contemporâneo | Água e Gás Individualizados | Infraestrutura de Alto Padrão	0	0	0	0	0	0	TRUE
sao-roque	Edifício\nSão Roque	Rua São Roque, 620 - Sagrada Família	Concluído	100	A Definir	1 Quarto	1 e 2 Vagas	A Definir	A Definir	A Definir	O Edifício São Roque é um empreendimento concluído pela CHR que reflete nosso compromisso com a qualidade e a satisfação dos nossos clientes. Localizado no bairro Sagrada Família, oferece apartamentos de 1 quarto com 1 a 2 vagas de garagem, em um projeto que prioriza a praticidade e o bem-estar urbano. Um endereço pronto para viver o melhor de Belo Horizonte.	Empreendimento Concluído | Localização Residencial na Sagrada Família | Apartamentos de 1 Quarto | Vagas de 1 e 2 Veículos | Qualidade Construtiva CHR | Acabamento Superior | Pronto para Morar | Água e Gás Individualizados	100	100	100	100	100	100	TRUE
marechal-hermes	Edifício\nMarechal Hermes	Rua Marechal Hermes, 778 - Gutierrez	Concluído	100	60m² a 120m²	2 Quartos	2 Vagas	5 Andares	A Definir	Área Privativa e Cobertura	O Edifício Marechal Hermes é um destaque no bairro Gutierrez pela sua arquitetura sóbria e elegante. Este empreendimento concluído pela CHR oferece apartamentos de 2 quartos em uma das ruas mais arborizadas e tranquilas da região. Com unidades de área privativa e coberturas, o projeto entrega o máximo de conforto em um dos bairros mais tradicionais de BH.	Empreendimento Concluído | Localização Nobre no Gutierrez | Apartamentos de 2 Quartos | 5 Andares de Exclusividade | Qualidade Construtiva CHR | Acabamento Superior | Área Privativa e Cobertura | Água e Gás Individualizados	100	100	100	100	100	100	TRUE
geraldo-rezende	Edifício\nGeraldo Rezende	Rua Itajubá, 1138 - Sagrada Família	Concluído	100	A Definir	1 e 2 Quartos	A Definir	4 Andares	A Definir	A Definir	O Edifício Geraldo Rezende é fruto da expertise da CHR em transformar bons projetos em endereços de desejo. Localizado em uma área privilegiada do bairro Sagrada Família, este empreendimento concluído conta com apartamentos de 1 e 2 quartos em uma torre exclusiva de apenas 4 andares. Um projeto que combina estilo, conforto e a solidez que só a CHR entrega.	Empreendimento Concluído | Localização Tradicional na Rua Itajubá | Apartamentos de 1 e 2 Quartos | Apenas 4 Andares (Exclusividade) | Qualidade Construtiva CHR | Acabamento Superior | Pronto para Morar | Água e Gás Individualizados	100	100	100	100	100	100	TRUE
itajuba	Edifício\nItajubá	Rua Itajubá, 1350 - Sagrada Família	Concluído	100	A Definir	1 e 2 Quartos	A Definir	A Definir	A Definir	A Definir	O Edifício Itajubá é um marco de eficiência e bom gosto na tradicional Rua Itajubá. Como um empreendimento concluído pela CHR, entrega a solidez de uma construção de alto padrão e a praticidade de metragens inteligentes. Apartamentos de 1 e 2 quartos projetados para oferecer conforto e agilidade no dia a dia, em uma região completa de serviços e lazer.	Empreendimento Concluído | Localização Tradicional na Sagrada Família | Apartamentos de 1 e 2 Quartos | Vagas de Garagem Cobertas | Qualidade Construtiva CHR | Acabamento de Alto Padrão | Segurança e Praticidade | Pronto para Morar	100	100	100	100	100	100	TRUE
iracema-drummond	Edifício Iracema\nDrummond	Rua Canada, 54 - Sion	Concluído	100	A Definir	A Definir	A Definir	A Definir	A Definir	A Definir	O Edifício Iracema Drummond no bairro Sion é uma joia da arquitetura contemporânea e um projeto concluído com o selo de qualidade CHR. Uma obra pensada para oferecer conforto e sofisticação em um dos bairros de maior valorização de Belo Horizonte.	Empreendimento Concluído | Localização Nobre no Sion | Qualidade Construtiva CHR | Acabamento de Alto Padrão | Pronto para Morar	100	100	100	100	100	100	TRUE
dona-anisia	Edifício CHR\nDona Anisia	Rua Congonhas, 439 - São Pedro	Concluído	100	A Definir	A Definir	A Definir	A Definir	A Definir	A Definir	O Edifício CHR Dona Anisia, localizado na arborizada Rua Congonhas, no coração do bairro São Pedro, é sinônimo de excelência e qualidade finalizada. Um empreendimento totalmente pronto que reflete a dedicação da construtora aos detalhes e ao conforto de quem valoriza o melhor.	Empreendimento Concluído | Localização Especial no São Pedro | Qualidade Construtiva CHR | Design Sofisticado e Moderno | Pronto para Morar	100	100	100	100	100	100	TRUE
caldeira-brant	Edifício\nCaldeira Brant	Rua Caldeira Brant, 70 - Sagrada Família	Concluído	100	A Definir	2 e 3 Quartos	A Definir	A Definir	A Definir	A Definir	Bem-vindo ao Edifício Caldeira Brant, um empreendimento totalmente concluído na Sagrada Família, assinado com excelência pela CHR. Com apartamentos de 2 e 3 quartos, este projeto oferece o equilíbrio perfeito entre agitação urbana e tranquilidade residencial, pronto para você chamar de lar.	Empreendimento Concluído | Localização na Sagrada Família | Apartamentos de 2 e 3 Quartos | Qualidade Construtiva CHR | Acabamento de Alto Padrão | Pronto para Morar	100	100	100	100	100	100	TRUE
adelson-pazzini	Edifício Engenheiro\nAdelson Pazzini	Rua São Manoel, 229 - Floresta	Concluído	100	A Definir	A Definir	A Definir	A Definir	A Definir	A Definir	O Edifício Engenheiro Adelson Pazzini, entregue pela CHR no bairro Floresta, é um exemplo marcante da nossa tradição e compromisso com a excelência. Localizado na charmosa Rua São Manoel, oferece total comodidade, com projeto arquitetônico moderno e acabamentos requintados.	Empreendimento Concluído | Localização Privilegiada no Floresta | Qualidade Construtiva CHR | Arquitetura Moderna | Pronto para Morar	100	100	100	100	100	100	TRUE
macedo	Edifício\nMacedo	Rua Macedo, 117 - Floresta	Concluído	100	A Definir	A Definir	A Definir	A Definir	A Definir	A Definir	O Edifício Macedo é mais um projeto concluído de ponta a ponta pela CHR. Situado no coração do Floresta, a poucos passos da área comercial e de serviços, o projeto foi concebido para celebrar a experiência morar com conveniência total e excelente projeto estrutural.	Empreendimento Concluído | Centralidade na Floresta | Qualidade Construtiva CHR | Acabamento Superior | Pronto para Morar	100	100	100	100	100	100	TRUE
itabira	Edifício CHR\nItabira	Rua Itabira, 625 - Floresta	Concluído	100	A Definir	A Definir	A Definir	A Definir	A Definir	A Definir	O Edifício CHR Itabira é a perfeita tradução de bem-viver. Um empreendimento totalmente concluído, planejado aos mínimos detalhes pela engenharia da construtora CHR, que se destaca pela sua modernidade, conforto térmico e acústico, e uma localização excepcional.	Empreendimento Concluído | Localização Privilegiada | Qualidade Construtiva CHR | Acabamento Superior | Pronto para Morar	100	100	100	100	100	100	TRUE
mem-de-sa	Edifício CHR\nMem de Sá	Av. Mem de Sá, 766 - Santa Efigênia	Concluído	100	A Definir	A Definir	A Definir	A Definir	A Definir	A Definir	O Edifício CHR Mem de Sá, situado no Santa Efigênia, proporciona a seus residentes a verdadeira experiência de viver com segurança e tranquilidade. Com acabamentos impecáveis, a obra concluída é um marco na região para quem valoriza detalhes de altíssimo padrão e um estilo de vida prático e cosmopolita.	Empreendimento Concluído | Localização Estratégica no Santa Efigênia | Qualidade Construtiva CHR | Acabamento Superior | Pronto para Morar	100	100	100	100	100	100	TRUE
nelson-souza	Edifício\nNelson Souza	Rua Amapa, 72 - Serra	Concluído	100	A Definir	2 e 3 Quartos	A Definir	A Definir	A Definir	A Definir	O Edifício Nelson Souza traz elegância e conforto para a região da Serra. Com acabamentos de altíssimo padrão, este empreendimento destaca-se pela excelente localização, ideal para quem busca viver com comodidade e qualidade de vida no coração da cidade.	Empreendimento Concluído | Localização Privilegiada | Qualidade Construtiva CHR | Acabamento Superior | Pronto para Morar	100	100	100	100	100	100	TRUE
dona-cleonice	Edifício\nDona Cleonice	Rua São Domingos do Prata, 430 - São Pedro	Concluído	100	A Definir	2 Quartos	A Definir	A Definir	A Definir	A Definir	O Edifício Dona Cleonice é a harmonia perfeita entre praticidade e requinte no bairro São Pedro. Construído com materiais selecionados, seus moradores desfrutam de um ambiente pensado para o bem-estar absoluto.	Empreendimento Concluído | Localização Privilegiada no São Pedro | Qualidade Construtiva CHR | Acabamento Superior | Pronto para Morar	100	100	100	100	100	100	TRUE
stela-de-souza2	Edifício CHR\nStela de Souza	Rua Stela de Souza, 514 - Sagrada Família	Concluído	100	A Definir	1, 2 e 3 Quartos	A Definir	A Definir	A Definir	A Definir	Uma infraestrutura encantadora na Sagrada Família. O Edifício CHR Stela de Souza foi projetado para elevar a sua rotina, oferecendo apartamentos espaçosos e confortáveis com as melhores tecnologias habitacionais desenvolvidas pela CHR.	Empreendimento Concluído | Próximo a vias de acesso | Qualidade Construtiva CHR | Acabamento Superior | Pronto para Morar	100	100	100	100	100	100	TRUE
getulio-vargas	Edifício CHR\nGetúlio Vargas	Avenida Getúlio Vargas, 58 - Funcionários	Concluído	100	A Definir	1, 2 e 3 Quartos	A Definir	A Definir	A Definir	A Definir	Posicionado de maneira estratégica no coração do Funcionários, o Edifício CHR Getúlio Vargas proporciona a seus moradores a união autêntica de acessibilidade e luxo. Um ícone urbano totalmente finalizado com o padrão irretocável da CHR.	Empreendimento Concluído | Localização Excepcional no Funcionários | Qualidade Construtiva CHR | Acabamento Superior | Pronto para Morar	100	100	100	100	100	100	TRUE
waldir-chaves	Edifício\nWaldir Chaves	Rua Caldeira Brant, 371 - Sagrada Família	Concluído	100	A Definir	1 e 2 Quartos	A Definir	A Definir	A Definir	A Definir	Oportunidade única para desfrutar da Sagrada Família. O edifício Waldir Chaves se destaca por seu layout inteligente, áreas extremamente bem valorizadas e a clássica tranquilidade mineira num acabamento excepcional.	Empreendimento Concluído | Localização Privilegiada | Qualidade Construtiva CHR | Acabamento Superior | Pronto para Morar	100	100	100	100	100	100	TRUE
